dataset,lambda,location_id,abs_p_pos_128_256,abs_p_pos_256_512,abs_p_pos_128_512
low_height_first_10000,0.5,4,0.0078125,0.00390625,0.00390625
low_height_first_10000,0.5,5,0.0,0.001953125,0.001953125
low_height_first_10000,0.5,6,0.00390625,0.00390625,0.0
low_height_first_10000,0.5,7,0.0,0.0,0.0
low_height_first_10000,0.5,8,0.0,0.0,0.0
low_height_first_10000,0.5,9,0.01171875,0.001953125,0.009765625
low_height_first_10000,0.5,10,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.5,11,0.00390625,0.0,0.00390625
low_height_first_10000,0.5,12,0.0078125,0.001953125,0.005859375
low_height_first_10000,0.5,13,0.00390625,0.0,0.00390625
low_height_first_10000,0.5,14,0.015625,0.001953125,0.013671875
low_height_first_10000,0.5,15,0.0,0.0,0.0
low_height_first_10000,0.5,16,0.00390625,0.005859375,0.001953125
low_height_first_10000,0.55,1,0.00390625,0.0,0.00390625
low_height_first_10000,0.55,2,0.0,0.001953125,0.001953125
low_height_first_10000,0.55,3,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.55,4,0.00390625,0.0,0.00390625
low_height_first_10000,0.55,5,0.0,0.001953125,0.001953125
low_height_first_10000,0.55,6,0.01171875,0.00390625,0.0078125
low_height_first_10000,0.55,7,0.01171875,0.0,0.01171875
low_height_first_10000,0.55,8,0.015625,0.009765625,0.005859375
low_height_first_10000,0.55,9,0.0,0.00390625,0.00390625
low_height_first_10000,0.55,10,0.00390625,0.005859375,0.001953125
low_height_first_10000,0.55,11,0.01171875,0.001953125,0.009765625
low_height_first_10000,0.55,12,0.0,0.005859375,0.005859375
low_height_first_10000,0.55,13,0.01171875,0.00390625,0.0078125
low_height_first_10000,0.55,14,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.55,15,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.55,16,0.0,0.00390625,0.00390625
low_height_first_10000,0.6,1,0.00390625,0.0078125,0.00390625
low_height_first_10000,0.6,2,0.01171875,0.001953125,0.013671875
low_height_first_10000,0.6,3,0.0078125,0.0,0.0078125
low_height_first_10000,0.6,4,0.01171875,0.001953125,0.009765625
low_height_first_10000,0.6,5,0.00390625,0.0,0.00390625
low_height_first_10000,0.6,6,0.00390625,0.0,0.00390625
low_height_first_10000,0.6,7,0.0,0.00390625,0.00390625
low_height_first_10000,0.6,8,0.0078125,0.00390625,0.01171875
low_height_first_10000,0.6,9,0.00390625,0.00390625,0.0
low_height_first_10000,0.6,10,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.6,11,0.0,0.001953125,0.001953125
low_height_first_10000,0.6,12,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.6,13,0.0078125,0.001953125,0.005859375
low_height_first_10000,0.6,14,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.6,15,0.0,0.0078125,0.0078125
low_height_first_10000,0.6,16,0.0,0.001953125,0.001953125
low_height_first_10000,0.65,1,0.0078125,0.005859375,0.001953125
low_height_first_10000,0.65,2,0.0,0.0,0.0
low_height_first_10000,0.65,3,0.0078125,0.005859375,0.001953125
low_height_first_10000,0.65,4,0.015625,0.0,0.015625
low_height_first_10000,0.65,5,0.0078125,0.005859375,0.001953125
low_height_first_10000,0.65,6,0.0078125,0.0,0.0078125
low_height_first_10000,0.65,7,0.0078125,0.0,0.0078125
low_height_first_10000,0.65,8,0.00390625,0.005859375,0.009765625
low_height_first_10000,0.65,9,0.0,0.0,0.0
low_height_first_10000,0.65,10,0.0,0.001953125,0.001953125
low_height_first_10000,0.65,11,0.0078125,0.00390625,0.01171875
low_height_first_10000,0.65,12,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.65,13,0.0078125,0.001953125,0.005859375
low_height_first_10000,0.65,14,0.0078125,0.00390625,0.01171875
low_height_first_10000,0.65,15,0.0078125,0.0,0.0078125
low_height_first_10000,0.65,16,0.00390625,0.00390625,0.0
low_height_first_10000,0.7,1,0.00390625,0.0,0.00390625
low_height_first_10000,0.7,2,0.0,0.001953125,0.001953125
low_height_first_10000,0.7,3,0.0,0.00390625,0.00390625
low_height_first_10000,0.7,4,0.0078125,0.001953125,0.009765625
low_height_first_10000,0.7,5,0.0078125,0.005859375,0.013671875
low_height_first_10000,0.7,6,0.01171875,0.001953125,0.013671875
low_height_first_10000,0.7,7,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.7,8,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.7,9,0.0078125,0.00390625,0.00390625
low_height_first_10000,0.7,10,0.00390625,0.001953125,0.001953125
